detail_page_url,event_count,status,description_found,image_found,reason
https://www.ticketmaster.com/event/Z7r9jZ1A7-tJA,4,miss,false,false,fetch failed
https://www.ticketmaster.com/event/Z7r9jZ1A7P0fN,4,miss,false,false,fetch failed
https://www.freddysbar.com/events/fourth-sunday-traditional-irish-music-jam,4,miss,false,false,no usable og/meta tags
https://on.fgtix.com/trk/jADP,4,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/bruno-mars-the-romantic-tour-east-rutherford-new-jersey-08-21-2026/event/0000639EE07FD3B7,4,miss,false,false,fetch failed
https://www.ticketweb.com/event/kenny-garrett-blue-note-jazz-club-tickets/14948733,4,miss,false,false,no usable og/meta tags
https://www.ticketweb.com/event/hiromi-the-piano-quintet-feat-blue-note-jazz-club-tickets/14810103,4,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/frank-turner-lost-evenings-ix-dallas-texas-09-24-2026/event/0C006337933B20E3,4,miss,false,false,fetch failed
https://www.ticketweb.com/event/line-dance-lessons-at-diamondback-diamondback-music-hall-tickets/14921873,4,miss,false,false,no usable og/meta tags
https://deeringestate.org/events/mini-camp/,4,hit,true,true,
https://www.triplecbrewing.com/live-music-events/2026/2/12/triple-c-beer-runners-zxn3m-59cs8-68alk-883dh-hd43b-h6yhy-ybjfc-2zdne-hpdpz-fd394-8g7re-8zxc4-ll625-awea8-ksext,4,hit,true,false,
https://www.arcadecomedytheater.com/event/comedy-confidential-with-brittany-alexis-13/,4,hit,false,true,
https://www.arcadecomedytheater.com/event/under-the-radar-independent-pittsburgh-improv-16/,4,hit,false,true,
https://www.arcadecomedytheater.com/event/penny-arcade-kids-comedy-show-25/,4,hit,false,true,
https://www.arcadecomedytheater.com/event/comedy-bingo-night-with-barbara-a-mother-3/,4,hit,false,true,
https://crafthousepgh.com/late-night-happy-hour-%e2%88%99-july-24-2026/,4,hit,true,true,
https://www.treetix.com/event?id=204202&cal=highwatermark,4,hit,false,true,
https://portland.heliumcomedy.com/shows/364620,4,miss,false,false,no usable og/meta tags
https://portland.heliumcomedy.com/shows/378355,4,miss,false,false,no usable og/meta tags
https://www.ticketweb.com/event/hard-swingin-country-soiree-with-lil-indies-tickets/14216914,4,miss,false,false,no usable og/meta tags
https://portland.heliumcomedy.com/shows/372585,4,miss,false,false,no usable og/meta tags
https://www.tixr.com/groups/hiddenhall/events/western-wednesdays-country-dance-night-182260,4,miss,false,false,fetch failed
https://www.ticketmaster.com/morrissey-live-in-concert-las-vegas-nevada-08-14-2026/event/17006496B69CB0C3,4,miss,false,false,fetch failed
https://portland.heliumcomedy.com/shows/370294,4,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/boyz-ii-men-las-vegas-nevada-08-14-2026/event/17006443AA45D69A,4,miss,false,false,fetch failed
https://www.ticketmaster.com/earth-wind-fire-las-vegas-nevada-10-16-2026/event/17006465DF19250E,4,miss,false,false,fetch failed
https://www.ticketmaster.com/bohemian-queen-las-vegas-nevada-09-03-2026/event/170064CECEBDADE1,4,miss,false,false,fetch failed
https://www.ticketmaster.com/fourever-fab-a-tribute-to-the-las-vegas-nevada-08-20-2026/event/170064BEB085C635,4,miss,false,false,fetch failed
https://www.ticketmaster.com/the-lion-and-the-mouse-atlanta-georgia-07-25-2026/event/0E0064BCE19E3074,4,miss,false,false,fetch failed
